"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 10 17:08:23 GMT 2023","Tue Jan 10 17:08:25 GMT 2023","2231","","com.bilgin.RestAssuredWithMockServerTest","","com.bilgin.RestAssuredWithMockServerTest","restAssuredWithMockServerTest","restAssuredWithMockServerTest()","Assertion for single user response from mock test api"
"passed","Tue Jan 10 17:08:10 GMT 2023","Tue Jan 10 17:08:11 GMT 2023","1563","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","singleUserTest","singleUserTest()","Assertion for single user response from real test api"
"passed","Tue Jan 10 17:08:12 GMT 2023","Tue Jan 10 17:08:14 GMT 2023","2324","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","userListTest","userListTest()","Assertion for user list response from real test api"
