"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 15:24:10 GMT 2022","Thu Dec 29 15:24:13 GMT 2022","2810","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","singleUserTest","singleUserTest()","Assertion for single user response from real test api"
"passed","Thu Dec 29 15:24:29 GMT 2022","Thu Dec 29 15:24:32 GMT 2022","3253","","com.bilgin.RestAssuredWithMockServerTest","","com.bilgin.RestAssuredWithMockServerTest","restAssuredWithMockServerTest","restAssuredWithMockServerTest()","Assertion for single user response from mock test api"
"passed","Thu Dec 29 15:24:13 GMT 2022","Thu Dec 29 15:24:16 GMT 2022","3119","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","userListTest","userListTest()","Assertion for user list response from real test api"
