"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 17:02:30 GMT 2023","Thu Jun 01 17:02:33 GMT 2023","2528","","com.bilgin.RestAssuredWithMockServerTest","","com.bilgin.RestAssuredWithMockServerTest","restAssuredWithMockServerTest","restAssuredWithMockServerTest()","Assertion for single user response from mock test api"
"passed","Thu Jun 01 17:02:19 GMT 2023","Thu Jun 01 17:02:21 GMT 2023","2042","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","userListTest","userListTest()","Assertion for user list response from real test api"
"passed","Thu Jun 01 17:02:18 GMT 2023","Thu Jun 01 17:02:19 GMT 2023","1556","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","singleUserTest","singleUserTest()","Assertion for single user response from real test api"
